code,name,board
AALI,Astra Agro Lestari Tbk.,Utama
ABMM,ABM Investama Tbk.,Utama
ACES,Aspirasi Hidup Indonesia Tbk.,Utama
ACST,Acset Indonusa Tbk.,Pengembangan
ADES,Akasha Wira International Tbk.,Pengembangan
ADHI,Adhi Karya (Persero) Tbk.,Utama
ADMF,Adira Dinamika Multi Finance T,Pengembangan
ADMG,Polychem Indonesia Tbk,Pengembangan
ADRO,Alamtri Resources Indonesia Tb,Utama
AGII,Samator Indo Gas Tbk.,Pengembangan
AGRO,Bank Raya Indonesia Tbk.,Utama
AGRS,Bank IBK Indonesia Tbk.,Pengembangan
AHAP,Asuransi Harta Aman Pratama Tb,Pengembangan
AIMS,Artha Mahiya Investama Tbk.,Pengembangan
AISA,FKS Food Sejahtera Tbk.,Utama
AKPI,Argha Karya Prima Industry Tbk,Pengembangan
AKRA,AKR Corporindo Tbk.,Utama
AKSI,Mineral Sumberdaya Mandiri Tbk,Pengembangan
ALDO,Alkindo Naratama Tbk.,Pengembangan
ALKA,Alakasa Industrindo Tbk,Pengembangan
AMAG,Asuransi Multi Artha Guna Tbk.,Pengembangan
AMFG,Asahimas Flat Glass Tbk.,Utama
AMIN,Ateliers Mecaniques D Indonesi,Pengembangan
AMRT,Sumber Alfaria Trijaya Tbk.,Utama
ANJT,Austindo Nusantara Jaya Tbk.,Pengembangan
ANTM,Aneka Tambang Tbk.,Utama
APEX,Apexindo Pratama Duta Tbk.,Pengembangan
APIC,Pacific Strategic Financial Tb,Pengembangan
APII,Arita Prima Indonesia Tbk.,Pengembangan
APLI,Asiaplast Industries Tbk.,Pengembangan
APLN,Agung Podomoro Land Tbk.,Utama
ARGO,Argo Pantes Tbk,Pengembangan
ARII,Atlas Resources Tbk.,Pengembangan
ARNA,Arwana Citramulia Tbk.,Utama
ARTA,Arthavest Tbk,Pengembangan
ARTO,Bank Jago Tbk.,Utama
ASBI,Asuransi Bintang Tbk.,Pengembangan
ASDM,Asuransi Dayin Mitra Tbk.,Pengembangan
ASGR,Astra Graphia Tbk.,Utama
ASII,Astra International Tbk.,Utama
ASJT,Asuransi Jasa Tania Tbk.,Pengembangan
ASRI,Alam Sutera Realty Tbk.,Utama
ASRM,Asuransi Ramayana Tbk.,Pengembangan
ASSA,Adi Sarana Armada Tbk.,Utama
ATIC,Anabatic Technologies Tbk.,Pengembangan
AUTO,Astra Otoparts Tbk.,Utama
BABP,Bank MNC Internasional Tbk.,Pengembangan
BACA,Bank Capital Indonesia Tbk.,Utama
BAJA,Saranacentral Bajatama Tbk.,Pengembangan
BALI,Bali Towerindo Sentra Tbk.,Utama
BAPA,Bekasi Asri Pemula Tbk.,Pengembangan
BATA,Sepatu Bata Tbk.,Pengembangan
BAYU,Bayu Buana Tbk,Pengembangan
BBCA,Bank Central Asia Tbk.,Utama
BBHI,Allo Bank Indonesia Tbk.,Utama
BBKP,Bank KB Bukopin Tbk.,Utama
BBLD,Buana Finance Tbk.,Pengembangan
BBMD,Bank Mestika Dharma Tbk.,Pengembangan
BBNI,Bank Negara Indonesia (Persero,Utama
BBRI,Bank Rakyat Indonesia (Persero,Utama
BBRM,Pelayaran Nasional Bina Buana ,Pengembangan
BBTN,Bank Tabungan Negara (Persero),Utama
BBYB,Bank Neo Commerce Tbk.,Utama
BCAP,MNC Kapital Indonesia Tbk.,Utama
BCIC,Bank JTrust Indonesia Tbk.,Pengembangan
BCIP,Bumi Citra Permai Tbk.,Pengembangan
BDMN,Bank Danamon Indonesia Tbk.,Utama
BEST,Bekasi Fajar Industrial Estate,Utama
BFIN,BFI Finance  Indonesia Tbk.,Utama
BGTG,Bank Ganesha Tbk.,Pengembangan
BIMA,Primarindo Asia Infrastructure,Pengembangan
BINA,Bank Ina Perdana Tbk.,Utama
BIPI,Astrindo Nusantara Infrastrukt,Pengembangan
BIRD,Blue Bird Tbk.,Utama
BISI,BISI International Tbk.,Utama
BJBR,Bank Pembangunan Daerah Jawa B,Utama
BJTM,Bank Pembangunan Daerah Jawa T,Utama
BKSW,Bank QNB Indonesia Tbk.,Pengembangan
BMRI,Bank Mandiri (Persero) Tbk.,Utama
BMSR,Bintang Mitra Semestaraya Tbk,Pengembangan
BMTR,Global Mediacom Tbk.,Utama
BNBA,Bank Bumi Arta Tbk.,Pengembangan
BNGA,Bank CIMB Niaga Tbk.,Utama
BNII,Bank Maybank Indonesia Tbk.,Utama
BNLI,Bank Permata Tbk.,Pengembangan
BOLT,Garuda Metalindo Tbk.,Pengembangan
BPFI,Woori Finance Indonesia Tbk.,Pengembangan
BPII,Batavia Prosperindo Internasio,Pengembangan
BRAM,Indo Kordsa Tbk.,Pengembangan
BRMS,Bumi Resources Minerals Tbk.,Utama
BRNA,Berlina Tbk.,Pengembangan
BRPT,Barito Pacific Tbk.,Utama
BSDE,Bumi Serpong Damai Tbk.,Utama
BSIM,Bank Sinarmas Tbk.,Utama
BSSR,Baramulti Suksessarana Tbk.,Pengembangan
BSWD,Bank Of India Indonesia Tbk.,Pengembangan
BTPN,Bank SMBC Indonesia Tbk.,Utama
BUDI,Budi Starch & Sweetener Tbk.,Utama
BUKK,Bukaka Teknik Utama Tbk.,Pengembangan
BULL,Buana Lintas Lautan Tbk.,Pengembangan
BUMI,Bumi Resources Tbk.,Utama
BUVA,Bukit Uluwatu Villa Tbk.,Pengembangan
BVIC,Bank Victoria International Tb,Utama
BWPT,Eagle High Plantations Tbk.,Utama
BYAN,Bayan Resources Tbk.,Utama
CASS,Cardig Aero Services Tbk.,Utama
CEKA,Wilmar Cahaya Indonesia Tbk.,Pengembangan
CFIN,Clipan Finance Indonesia Tbk.,Utama
CINT,Chitose Internasional Tbk.,Pengembangan
CITA,Cita Mineral Investindo Tbk.,Pengembangan
CLPI,Colorpak Indonesia Tbk.,Pengembangan
CMNP,Citra Marga Nusaphala Persada ,Utama
CPIN,Charoen Pokphand Indonesia Tbk,Utama
CPRO,Central Proteina Prima Tbk.,Pengembangan
CSAP,Catur Sentosa Adiprana Tbk.,Pengembangan
CTRA,Ciputra Development Tbk.,Utama
DART,Duta Anggada Realty Tbk.,Pengembangan
DEWA,Darma Henwa Tbk,Utama
DGIK,Nusa Konstruksi Enjiniring Tbk,Pengembangan
DILD,Intiland Development Tbk.,Utama
DKFT,Central Omega Resources Tbk.,Pengembangan
DLTA,Delta Djakarta Tbk.,Utama
DMAS,Puradelta Lestari Tbk.,Utama
DNAR,Bank Oke Indonesia Tbk.,Pengembangan
DNET,Indoritel Makmur Internasional,Pengembangan
DOID,Delta Dunia Makmur Tbk.,Utama
DPNS,Duta Pertiwi Nusantara Tbk.,Pengembangan
DSFI,Dharma Samudera Fishing Indust,Pengembangan
DSNG,Dharma Satya Nusantara Tbk.,Utama
DSSA,Dian Swastatika Sentosa Tbk,Utama
DVLA,Darya-Varia Laboratoria Tbk.,Pengembangan
DYAN,Dyandra Media International Tb,Pengembangan
ECII,Electronic City Indonesia Tbk.,Pengembangan
EKAD,Ekadharma International Tbk.,Pengembangan
ELSA,Elnusa Tbk.,Utama
EMDE,Megapolitan Developments Tbk.,Pengembangan
EMTK,Elang Mahkota Teknologi Tbk.,Utama
ENRG,Energi Mega Persada Tbk.,Utama
EPMT,Enseval Putera Megatrading Tbk,Pengembangan
ERAA,Erajaya Swasembada Tbk.,Utama
ERTX,Eratex Djaja Tbk.,Pengembangan
ESSA,ESSA Industries Indonesia Tbk.,Utama
EXCL,XL Axiata Tbk.,Utama
FAST,Fast Food Indonesia Tbk.,Pengembangan
FMII,Fortune Mate Indonesia Tbk,Pengembangan
FORU,Fortune Indonesia Tbk,Pengembangan
FPNI,Lotte Chemical Titan Tbk.,Pengembangan
GDYR,Goodyear Indonesia Tbk.,Pengembangan
GEMA,Gema Grahasarana Tbk.,Pengembangan
GEMS,Golden Energy Mines Tbk.,Utama
GGRM,Gudang Garam Tbk.,Utama
GJTL,Gajah Tunggal Tbk.,Utama
GMTD,Gowa Makassar Tourism Developm,Pengembangan
GOLD,Visi Telekomunikasi Infrastruk,Pengembangan
GPRA,Perdana Gapuraprima Tbk.,Pengembangan
GSMF,Equity Development Investment ,Pengembangan
GTBO,Garda Tujuh Buana Tbk,Pengembangan
GWSA,Greenwood Sejahtera Tbk.,Pengembangan
GZCO,Gozco Plantations Tbk.,Pengembangan
HDFA,Radana Bhaskara Finance Tbk.,Pengembangan
HERO,DFI Retail Nusantara Tbk.,Pengembangan
HEXA,Hexindo Adiperkasa Tbk.,Utama
HITS,Humpuss Intermoda Transportasi,Utama
HMSP,H.M. Sampoerna Tbk.,Pengembangan
HRUM,Harum Energy Tbk.,Utama
ICBP,Indofood CBP Sukses Makmur Tbk,Utama
IGAR,Champion Pacific Indonesia Tbk,Pengembangan
IKBI,Sumi Indo Kabel Tbk.,Pengembangan
IMAS,Indomobil Sukses Internasional,Utama
IMJS,Indomobil Multi Jasa Tbk.,Pengembangan
IMPC,Impack Pratama Industri Tbk.,Utama
INAI,Indal Aluminium Industry Tbk.,Pengembangan
INCI,Intanwijaya Internasional Tbk,Pengembangan
INCO,Vale Indonesia Tbk.,Utama
INDF,Indofood Sukses Makmur Tbk.,Utama
INDR,Indo-Rama Synthetics Tbk.,Pengembangan
INDS,Indospring Tbk.,Pengembangan
INDX,Tanah Laut Tbk,Pengembangan
INDY,Indika Energy Tbk.,Utama
INKP,Indah Kiat Pulp & Paper Tbk.,Utama
INPC,Bank Artha Graha Internasional,Utama
INPP,Indonesian Paradise Property T,Pengembangan
INRU,Toba Pulp Lestari Tbk.,Pengembangan
INTD,Inter Delta Tbk,Pengembangan
INTP,Indocement Tunggal Prakarsa Tb,Utama
IPOL,Indopoly Swakarsa Industry Tbk,Pengembangan
ISAT,Indosat Tbk.,Utama
ISSP,Steel Pipe Industry of Indones,Utama
ITMA,Sumber Energi Andalan Tbk.,Pengembangan
ITMG,Indo Tambangraya Megah Tbk.,Utama
JAWA,Jaya Agra Wattie Tbk.,Pengembangan
JECC,Jembo Cable Company Tbk.,Pengembangan
JIHD,Jakarta International Hotels &,Pengembangan
JKON,Jaya Konstruksi Manggala Prata,Utama
JPFA,Japfa Comfeed Indonesia Tbk.,Utama
JRPT,Jaya Real Property Tbk.,Pengembangan
JSMR,Jasa Marga (Persero) Tbk.,Utama
JSPT,Jakarta Setiabudi Internasiona,Pengembangan
JTPE,Jasuindo Tiga Perkasa Tbk.,Utama
KAEF,Kimia Farma Tbk.,Pengembangan
KBLI,KMI Wire & Cable Tbk.,Utama
KBLM,Kabelindo Murni Tbk.,Pengembangan
KDSI,Kedawung Setia Industrial Tbk.,Pengembangan
KICI,Kedaung Indah Can Tbk,Pengembangan
KIJA,Kawasan Industri Jababeka Tbk.,Utama
KKGI,Resource Alam Indonesia Tbk.,Utama
KLBF,Kalbe Farma Tbk.,Utama
KOBX,Kobexindo Tractors Tbk.,Pengembangan
KONI,Perdana Bangun Pusaka Tbk,Pengembangan
KOPI,Mitra Energi Persada Tbk.,Pengembangan
KPIG,MNC Land Tbk.,Pengembangan
KRAS,Krakatau Steel (Persero) Tbk.,Pengembangan
LEAD,Logindo Samudramakmur Tbk.,Pengembangan
LION,Lion Metal Works Tbk.,Utama
LMPI,Langgeng Makmur Industri Tbk.,Pengembangan
LPCK,Lippo Cikarang Tbk,Utama
LPIN,Multi Prima Sejahtera Tbk,Pengembangan
LPKR,Lippo Karawaci Tbk.,Utama
LPLI,Star Pacific Tbk,Pengembangan
LPPF,Matahari Department Store Tbk.,Utama
LPPS,Lenox Pasifik Investama Tbk.,Pengembangan
LRNA,Eka Sari Lorena Transport Tbk.,Pengembangan
LSIP,PP London Sumatra Indonesia Tb,Utama
LTLS,Lautan Luas Tbk.,Utama
MAIN,Malindo Feedmill Tbk.,Utama
MAPI,Mitra Adiperkasa Tbk.,Utama
MASA,Multistrada Arah Sarana Tbk.,Pengembangan
MAYA,Bank Mayapada Internasional Tb,Utama
MBAP,Mitrabara Adiperdana Tbk.,Pengembangan
MBSS,Mitrabahtera Segara Sejati Tbk,Utama
MBTO,Martina Berto Tbk.,Pengembangan
MCOR,Bank China Construction Bank I,Utama
MDKA,Merdeka Copper Gold Tbk.,Utama
MDLN,Modernland Realty Tbk.,Utama
MEDC,Medco Energi Internasional Tbk,Utama
MEGA,Bank Mega Tbk.,Utama
MERK,Merck Tbk.,Pengembangan
MFIN,Mandala Multifinance Tbk.,Utama
MICE,Multi Indocitra Tbk.,Pengembangan
MIDI,Midi Utama Indonesia Tbk.,Pengembangan
MIKA,Mitra Keluarga Karyasehat Tbk.,Utama
MITI,Mitra Investindo Tbk.,Pengembangan
MKPI,Metropolitan Kentjana Tbk.,Pengembangan
MLBI,Multi Bintang Indonesia Tbk.,Utama
MLIA,Mulia Industrindo Tbk,Utama
MLPL,Multipolar Tbk.,Utama
MLPT,Multipolar Technology Tbk.,Pengembangan
MMLP,Mega Manunggal Property Tbk.,Utama
MNCN,Media Nusantara Citra Tbk.,Utama
MPMX,Mitra Pinasthika Mustika Tbk.,Utama
MPPA,Matahari Putra Prima Tbk.,Utama
MRAT,Mustika Ratu Tbk.,Pengembangan
MREI,Maskapai Reasuransi Indonesia ,Pengembangan
MSKY,MNC Sky Vision Tbk.,Pengembangan
MTDL,Metrodata Electronics Tbk.,Utama
MTLA,Metropolitan Land Tbk.,Utama
MYOH,Samindo Resources Tbk.,Utama
MYOR,Mayora Indah Tbk.,Utama
NELY,Pelayaran Nelly Dwi Putri Tbk.,Pengembangan
NIKL,Pelat Timah Nusantara Tbk.,Pengembangan
NIRO,City Retail Developments Tbk.,Pengembangan
NISP,Bank OCBC NISP Tbk.,Utama
NOBU,Bank Nationalnobu Tbk.,Pengembangan
NRCA,Nusa Raya Cipta Tbk.,Pengembangan
OKAS,Ancora Indonesia Resources Tbk,Pengembangan
PALM,Provident Investasi Bersama Tb,Pengembangan
PANR,Panorama Sentrawisata Tbk.,Utama
PANS,Panin Sekuritas Tbk.,Utama
PDES,Destinasi Tirta Nusantara Tbk,Pengembangan
PEGE,Panca Global Kapital Tbk.,Pengembangan
PGAS,Perusahaan Gas Negara Tbk.,Utama
PGLI,Pembangunan Graha Lestari Inda,Pengembangan
PICO,Pelangi Indah Canindo Tbk,Pengembangan
